REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1965-01,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,253,,,,0
1965-01,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,66,,,,0
1965-01,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1701,,,,0
1965-01,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,897,,,,0
1965-01,Quebec,2016A000224,Units,300,units,0,v15819033,7,15206,,,,0
1965-01,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11885,,,,0
1965-01,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3321,,,,0
1965-01,Ontario,2016A000235,Units,300,units,0,v15819036,10,37970,,,,0
1965-01,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,24571,,,,0
1965-01,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,13399,,,,0
1965-01,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2018,,,,0
1965-01,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,1967,,,,0
1965-01,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,51,,,,0
1965-01,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1551,,,,0
1965-01,Alberta,2016A000248,Units,300,units,0,v15819043,17,3477,,,,0
1965-01,British Columbia,2016A000259,Units,300,units,0,v15819044,18,9376,,,,0
1965-01,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,6610,,,,0
1965-01,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2766,,,,0
1965-04,Canada,2016A000011124,Units,300,units,0,v15819027,1,79344,,,,0
1965-04,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,3276,,,,0
1965-04,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,243,,,,0
1965-04,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,59,,,,0
1965-04,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1800,,,,0
1965-04,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,1174,,,,0
1965-04,Quebec,2016A000224,Units,300,units,0,v15819033,7,13835,,,,0
1965-04,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11130,,,,0
1965-04,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,2705,,,,0
1965-04,Ontario,2016A000235,Units,300,units,0,v15819036,10,43111,,,,0
1965-04,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,27891,,,,0
1965-04,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,15220,,,,0
1965-04,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2538,,,,0
1965-04,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2474,,,,0
1965-04,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,64,,,,0
1965-04,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1522,,,,0
1965-04,Alberta,2016A000248,Units,300,units,0,v15819043,17,4032,,,,0
1965-04,British Columbia,2016A000259,Units,300,units,0,v15819044,18,11030,,,,0
1965-04,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,8476,,,,0
1965-04,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2554,,,,0
1965-07,Canada,2016A000011124,Units,300,units,0,v15819027,1,90511,,,,0
1965-07,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,3561,,,,0
1965-07,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,288,,,,0
1965-07,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,60,,,,0
1965-07,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1827,,,,0
1965-07,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,1386,,,,0
1965-07,Quebec,2016A000224,Units,300,units,0,v15819033,7,15525,,,,0
1965-07,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,12619,,,,0
1965-07,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,2906,,,,0
1965-07,Ontario,2016A000235,Units,300,units,0,v15819036,10,51977,,,,0
1965-07,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,33873,,,,0
1965-07,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,18104,,,,0
1965-07,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2327,,,,0
1965-07,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2227,,,,0
1965-07,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,100,,,,0
1965-07,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1912,,,,0
1965-07,Alberta,2016A000248,Units,300,units,0,v15819043,17,4592,,,,0
1965-07,British Columbia,2016A000259,Units,300,units,0,v15819044,18,10617,,,,0
1965-07,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,8044,,,,0
1965-07,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2573,,,,0
1965-10,Canada,2016A000011124,Units,300,units,0,v15819027,1,99815,,,,0
1965-10,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,3336,,,,0
1965-10,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,328,,,,0
1965-10,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,51,,,,0
1965-10,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1823,,,,0
1965-10,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,1134,,,,0
1965-10,Quebec,2016A000224,Units,300,units,0,v15819033,7,20908,,,,0
1965-10,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,16765,,,,0
1965-10,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,4143,,,,0
1965-10,Ontario,2016A000235,Units,300,units,0,v15819036,10,53659,,,,0
1965-10,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,36240,,,,0
1965-10,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,17419,,,,0
